LLM model,VLM model,Task,Case study,Trial,Prompt,Success,LLM mem. (GB) - file size (Q4 weights),VLM mem. (GB) - file size (Q4 weights),LLM mem. (GB) - runtime RAM,VLM mem. (GB) - runtime RAM,LLM latency (s),VLM latency (s)
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Place,Overlapped,2,put it to the right of the red dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Place,Overlapped,3,place it above the red dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Place,Overlapped,4,place it below the red dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Place,Overlapped,5,put it right side of the red dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Handover,Single,1,give it to me,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Handover,Single,2,hand it over,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Handover,Single,3,pass it to me,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Handover,Single,4,can you give me the dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Handover,Single,5,deliver the die carefully to my hand,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Handover,Multiple,1,give it to me,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Handover,Multiple,2,hand it over,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Handover,Multiple,3,pass it to me,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Handover,Multiple,4,can you give me the dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Handover,Multiple,5,deliver the die carefully to my hand,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Handover,Overlapped,1,give it to me,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Handover,Overlapped,2,hand it over,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Handover,Overlapped,3,pass it to me,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Handover,Overlapped,4,can you give me the dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Handover,Overlapped,5,deliver the die carefully to my hand,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Pick,Single,1,pick the yellow dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Pick,Single,2,grab the yellow dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Pick,Single,3,pick up the yellow dice not the red dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Pick,Single,4,can you pick up the yellow dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Pick,Single,5,I need you to pick the yellow dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Pick,Multiple,1,pick the yellow dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Pick,Multiple,2,grab the yellow dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Pick,Multiple,3,pick up the yellow dice not the red dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Pick,Multiple,4,can you pick up the yellow dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Pick,Multiple,5,I need you to pick the yellow dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Pick,Overlapped,1,pick the yellow dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Pick,Overlapped,2,grab the yellow dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Pick,Overlapped,3,pick up the yellow dice not the red dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Pick,Overlapped,4,can you pick up the yellow dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Pick,Overlapped,5,I need you to pick the yellow dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Place,Single,1,place it to the left of the red dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Place,Single,2,put it to the right of the red dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Place,Single,3,place it above the red dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Place,Single,4,place it below the red dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Place,Single,5,put it right side of the red dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Place,Multiple,1,place it to the left of the red dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Place,Multiple,2,put it to the right of the red dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Place,Multiple,3,place it above the red dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Place,Multiple,4,place it below the red dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Place,Multiple,5,put it right side of the red dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Place,Overlapped,1,place it to the left of the red dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Place,Overlapped,2,put it to the right of the red dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Place,Overlapped,3,place it above the red dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Place,Overlapped,4,place it below the red dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Place,Overlapped,5,put it right side of the red dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Handover,Single,1,give it to me,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Handover,Single,2,hand it over,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Handover,Single,3,pass it to me,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Handover,Single,4,can you give me the dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Handover,Single,5,deliver the die carefully to my hand,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Handover,Multiple,1,give it to me,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Handover,Multiple,2,hand it over,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Handover,Multiple,3,pass it to me,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Handover,Multiple,4,can you give me the dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Handover,Multiple,5,deliver the die carefully to my hand,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Handover,Overlapped,1,give it to me,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Handover,Overlapped,2,hand it over,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Handover,Overlapped,3,pass it to me,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Handover,Overlapped,4,can you give me the dice,,,,,,,
Mistral 3 8B (Jetson),Gemma 3 27B,Handover,Overlapped,5,deliver the die carefully to my hand,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Pick,Single,1,pick the yellow dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Pick,Single,2,grab the yellow dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Pick,Single,3,pick up the yellow dice not the red dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Pick,Single,4,can you pick up the yellow dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Pick,Single,5,I need you to pick the yellow dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Pick,Multiple,1,pick the yellow dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Pick,Multiple,2,grab the yellow dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Pick,Multiple,3,pick up the yellow dice not the red dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Pick,Multiple,4,can you pick up the yellow dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Pick,Multiple,5,I need you to pick the yellow dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Pick,Overlapped,1,pick the yellow dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Pick,Overlapped,2,grab the yellow dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Pick,Overlapped,3,pick up the yellow dice not the red dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Pick,Overlapped,4,can you pick up the yellow dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Pick,Overlapped,5,I need you to pick the yellow dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Place,Single,1,place it to the left of the red dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Place,Single,2,put it to the right of the red dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Place,Single,3,place it above the red dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Place,Single,4,place it below the red dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Place,Single,5,put it right side of the red dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Place,Multiple,1,place it to the left of the red dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Place,Multiple,2,put it to the right of the red dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Place,Multiple,3,place it above the red dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Place,Multiple,4,place it below the red dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Place,Multiple,5,put it right side of the red dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Place,Overlapped,1,place it to the left of the red dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Place,Overlapped,2,put it to the right of the red dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Place,Overlapped,3,place it above the red dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Place,Overlapped,4,place it below the red dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Place,Overlapped,5,put it right side of the red dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Handover,Single,1,give it to me,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Handover,Single,2,hand it over,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Handover,Single,3,pass it to me,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Handover,Single,4,can you give me the dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Handover,Single,5,deliver the die carefully to my hand,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Handover,Multiple,1,give it to me,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Handover,Multiple,2,hand it over,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Handover,Multiple,3,pass it to me,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Handover,Multiple,4,can you give me the dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Handover,Multiple,5,deliver the die carefully to my hand,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Handover,Overlapped,1,give it to me,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Handover,Overlapped,2,hand it over,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Handover,Overlapped,3,pass it to me,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Handover,Overlapped,4,can you give me the dice,,,,,,,
DeepSeek-R1 7B,LLaVA 7B,Handover,Overlapped,5,deliver the die carefully to my hand,,,,,,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Pick,Single,1,pick the yellow dice,1,4.7,54,7.65,116.98,2.21,42.11
Qwen2.5 7B,Llama 3.2-Vision 90B,Pick,Single,2,grab the yellow dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Pick,Single,3,pick up the yellow dice not the red dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Pick,Single,4,can you pick up the yellow dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Pick,Single,5,I need you to pick the yellow dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Pick,Multiple,1,pick the yellow dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Pick,Multiple,2,grab the yellow dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Pick,Multiple,3,pick up the yellow dice not the red dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Pick,Multiple,4,can you pick up the yellow dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Pick,Multiple,5,I need you to pick the yellow dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Pick,Overlapped,1,pick the yellow dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Pick,Overlapped,2,grab the yellow dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Pick,Overlapped,3,pick up the yellow dice not the red dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Pick,Overlapped,4,can you pick up the yellow dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Pick,Overlapped,5,I need you to pick the yellow dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Place,Single,1,place it to the left of the red dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Place,Single,2,put it to the right of the red dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Place,Single,3,place it above the red dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Place,Single,4,place it below the red dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Place,Single,5,put it right side of the red dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Place,Multiple,1,place it to the left of the red dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Place,Multiple,2,put it to the right of the red dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Place,Multiple,3,place it above the red dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Place,Multiple,4,place it below the red dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Place,Multiple,5,put it right side of the red dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Place,Overlapped,1,place it to the left of the red dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Place,Overlapped,2,put it to the right of the red dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Place,Overlapped,3,place it above the red dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Place,Overlapped,4,place it below the red dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Place,Overlapped,5,put it right side of the red dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Handover,Single,1,give it to me,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Handover,Single,2,hand it over,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Handover,Single,3,pass it to me,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Handover,Single,4,can you give me the dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Handover,Single,5,deliver the die carefully to my hand,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Handover,Multiple,1,give it to me,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Handover,Multiple,2,hand it over,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Handover,Multiple,3,pass it to me,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Handover,Multiple,4,can you give me the dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Handover,Multiple,5,deliver the die carefully to my hand,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Handover,Overlapped,1,give it to me,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Handover,Overlapped,2,hand it over,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Handover,Overlapped,3,pass it to me,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Handover,Overlapped,4,can you give me the dice,,4.7,54,7.65,116.98,,
Qwen2.5 7B,Llama 3.2-Vision 90B,Handover,Overlapped,5,deliver the die carefully to my hand,,4.7,54,7.65,116.98,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Pick,Single,1,pick the yellow dice,1,4.9,21,28.58,127.69,3.57,43.24
LLaMA 3.1 8B,Qwen2.5-VL 32B,Pick,Single,2,grab the yellow dice,1,4.9,21,28.58,127.69,6.57,43.24
LLaMA 3.1 8B,Qwen2.5-VL 32B,Pick,Single,3,pick up the yellow dice not the red dice,1,4.9,21,28.58,127.69,6.73,43.97
LLaMA 3.1 8B,Qwen2.5-VL 32B,Pick,Single,4,can you pick up the yellow dice,1,4.9,21,28.58,127.69,6.70,45.05
LLaMA 3.1 8B,Qwen2.5-VL 32B,Pick,Single,5,I need you to pick the yellow dice,1,4.9,21,28.58,127.69,6.56,43.64
LLaMA 3.1 8B,Qwen2.5-VL 32B,Pick,Multiple,1,pick the yellow dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Pick,Multiple,2,grab the yellow dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Pick,Multiple,3,pick up the yellow dice not the red dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Pick,Multiple,4,can you pick up the yellow dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Pick,Multiple,5,I need you to pick the yellow dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Pick,Overlapped,1,pick the yellow dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Pick,Overlapped,2,grab the yellow dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Pick,Overlapped,3,pick up the yellow dice not the red dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Pick,Overlapped,4,can you pick up the yellow dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Pick,Overlapped,5,I need you to pick the yellow dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Place,Single,1,place it to the left of the red dice,1,4.9,21,28.58,127.69,6.79,41.32
LLaMA 3.1 8B,Qwen2.5-VL 32B,Place,Single,2,put it to the right of the red dice,1,4.9,21,28.58,127.69,1.81,28.76
LLaMA 3.1 8B,Qwen2.5-VL 32B,Place,Single,3,place it above the red dice,1,4.9,21,28.58,127.69,1.70,42.20
LLaMA 3.1 8B,Qwen2.5-VL 32B,Place,Single,4,place it below the red dice,1,4.9,21,28.58,127.69,1.64,43.07
LLaMA 3.1 8B,Qwen2.5-VL 32B,Place,Single,5,put it right side of the red dice,1,4.9,21,28.58,127.69,7.23,42.29
LLaMA 3.1 8B,Qwen2.5-VL 32B,Place,Multiple,1,place it to the left of the red dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Place,Multiple,2,put it to the right of the red dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Place,Multiple,3,place it above the red dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Place,Multiple,4,place it below the red dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Place,Multiple,5,put it right side of the red dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Place,Overlapped,1,place it to the left of the red dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Place,Overlapped,2,put it to the right of the red dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Place,Overlapped,3,place it above the red dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Place,Overlapped,4,place it below the red dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Place,Overlapped,5,put it right side of the red dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Handover,Single,1,give it to me,1,4.9,21,28.58,127.69,7.39,43.11
LLaMA 3.1 8B,Qwen2.5-VL 32B,Handover,Single,2,hand it over,1,4.9,21,28.58,127.69,6.44,43.25
LLaMA 3.1 8B,Qwen2.5-VL 32B,Handover,Single,3,pass it to me,1,4.9,21,28.58,127.69,8.43,44.42
LLaMA 3.1 8B,Qwen2.5-VL 32B,Handover,Single,4,can you give me the dice,0,4.9,21,28.58,127.69,NA,NA
LLaMA 3.1 8B,Qwen2.5-VL 32B,Handover,Single,5,deliver the die carefully to my hand,1,4.9,21,28.58,127.69,1.54,43.45
LLaMA 3.1 8B,Qwen2.5-VL 32B,Handover,Multiple,1,give it to me,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Handover,Multiple,2,hand it over,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Handover,Multiple,3,pass it to me,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Handover,Multiple,4,can you give me the dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Handover,Multiple,5,deliver the die carefully to my hand,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Handover,Overlapped,1,give it to me,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Handover,Overlapped,2,hand it over,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Handover,Overlapped,3,pass it to me,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Handover,Overlapped,4,can you give me the dice,,4.9,21,28.58,127.69,,
LLaMA 3.1 8B,Qwen2.5-VL 32B,Handover,Overlapped,5,deliver the die carefully to my hand,,4.9,21,28.58,127.69,,
